case_id,state,frequency_hz,fat_factor,free_parameters,synthetic,rho1,rho2,rho3_fat,rho_bone,rho_heart,rmse_ohm,max_residual_ohm,bound_rho1,bound_rho2,bound_rho3,condition_number,smin_ohm,quadrature_max_difference_ohm,quadrature_within_tolerance,bound_expansions,stop_reason,two_start_log_difference,exitflag,iterations,vector_evaluations,CEM_solves,seconds,max_relative_residual,max_reciprocity_ohm
inhale_f50000_fat100_p2_s0,inhale,50000,1,2,0,4.01401898699878,99.9999999996253,23.1086075206695,48.4451260579635,5.11678442048387,10.9196480288182,24.865938622168,0,1,0,146.536391575504,1.34248706876678,0.071317405369598,1,0,user_numeric_boundary_reached,2.10947703749298e-10,2,13,29,261,462.8152461,8.91600047404282e-10,1.13686837721616e-13
inhale_f100000_fat100_p2_s0,inhale,100000,1,2,0,4.0163475016705,99.9999999975036,23.040605218284,48.0976735255785,4.64880905754772,10.9140271100221,24.8545031549302,0,1,0,146.454472277782,1.34286803369342,0.070993708243563,1,0,user_numeric_boundary_reached,2.85271584132829e-10,3,9,20,180,338.7229227,1.20121524295159e-09,1.13686837721616e-13
inhale_f50000_fat075_p2_s0,inhale,50000,0.75,2,0,4.21177750604645,99.9999997429385,17.3314556405021,48.4451260579635,5.11678442048387,10.0105761445067,22.8501188026547,0,1,0,141.402266503601,1.36204844340548,0.044191623522579,1,0,user_numeric_boundary_reached,2.56310261903536e-09,3,10,21,189,319.0423807,1.05421076815429e-09,8.5265128291212e-14
inhale_f50000_fat125_p2_s0,inhale,50000,1.25,2,0,3.88524673075899,99.9999999997555,28.8857594008369,48.4451260579635,5.11678442048387,11.5770734950064,26.2870867461473,0,1,0,150.716569460793,1.32506231771417,0.098098358998854,1,0,user_numeric_boundary_reached,6.81004141966923e-10,3,9,21,189,329.293588,1.05427953283501e-09,8.5265128291212e-14
inhale_f50000_fat100_p3_s0,inhale,50000,1,3,0,21.9542252085539,0.100000000000051,2.05669491901557,48.4451260579635,5.11678442048387,4.92063489654217,8.65731233008708,0,1,0,487.47911740985,0.357830994797028,0.0134931887049277,1,0,user_numeric_boundary_reached,1.36267441774862e-10,1,17,43,387,770.5537021,1.0005413370633e-09,1.13686837721616e-13
inhale_f50000_fat100_p3_s1,inhale,50000,1,3,1,3.99999999990796,12.0000000114262,23.1086075229748,48.4451260579635,5.11678442048387,9.38638112026358e-10,1.64560987059303e-09,0,0,0,65.5669700622544,2.84271226700468,0.0713364084581372,1,0,interior_stationary_point,1.25302568321217e-09,1,8,18,162,355.6696053,7.50693458714119e-10,1.13686837721616e-13
