evaluation,rho_soft_ohm_m,rho_lungs_ohm_m,centre_u_mm,centre_v_mm,phi_deg,objective,fem_slope_ohm_per_mm,h_centre_mm,status,failure_code,engine_version,engine_fingerprint,centre_x_mm,centre_y_mm,centre_z_mm,normal_x,normal_y,normal_z,axis_x,axis_y,axis_z,reconstructed_h_vertex_mm
30,5.3646664546649,24.7069468090815,7.87975438606791,10.6547663507263,3.125,27.8013971997475,-0.54828156537765,30.4849289802345,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,0.0850428525030482,-0.0420482383390014,-0.995489657852221,30.4849289802345
31,4.6146664546649,24.7069468090815,7.87975438606791,10.6547663507263,3.125,65.2864054439986,-0.463428423685758,30.4849289802345,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,0.0850428525030482,-0.0420482383390014,-0.995489657852221,30.4849289802345
32,6.1146664546649,24.7069468090815,7.87975438606791,10.6547663507263,3.125,50.9902544697153,-0.634479375147296,30.4849289802345,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,0.0850428525030482,-0.0420482383390014,-0.995489657852221,30.4849289802345
33,5.3646664546649,21.7069468090815,7.87975438606791,10.6547663507263,3.125,29.0153771826787,-0.553401227853324,30.4849289802345,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,0.0850428525030482,-0.0420482383390014,-0.995489657852221,30.4849289802345
34,5.3646664546649,27.7069468090815,7.87975438606791,10.6547663507263,3.125,27.1649682162476,-0.54399883187938,30.4849289802345,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,0.0850428525030482,-0.0420482383390014,-0.995489657852221,30.4849289802345
35,5.3646664546649,24.7069468090815,-2.12024561393209,10.6547663507263,3.125,70.9568149788557,-0.673428482617768,32.2159007250251,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-160.5,-26.9395800422231,-123.060419957777,-0.785392276323759,-0.613874907874157,-0.0794768505508332,0.11676111905376,-0.0208306506854538,-0.992941551688383,32.2159007250251
36,5.3646664546649,24.7069468090815,17.8797543860679,10.6547663507263,3.125,42.3577468964223,-0.524234707742636,27.9660184345461,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-158.876320931185,-26.6236790688146,-143.282706815564,-0.831654438130123,-0.554405383543131,-0.0313937292602027,0.0693237222646838,-0.0475659140927096,-0.996459585406199,27.9660184345461
37,5.3646664546649,24.7069468090815,7.87975438606791,0.6547663507263,3.125,64.7404758885744,-0.507811852331165,32.819529788795,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-165.107705282454,-18.3922947175458,-133.566804794936,-0.84652004817741,-0.529695403040192,-0.0531656659114102,0.0841793960406941,-0.0345755077925292,-0.995850572898923,32.819529788795
38,5.3646664546649,24.7069468090815,7.87975438606791,20.6547663507263,3.125,1000000000000,NaN,NaN,invalid_geometry,trkg4:electrodeDiagnostics,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-153.854924270009,-34.6450757299908,-133.197821100793,-0.794963540567231,-0.606317800349784,-0.0202902476035343,0.0687512767324723,-0.0568107487398691,-0.996014960116198,27.4373061448246
39,5.3646664546649,24.7069468090815,7.87975438606791,10.6547663507263,8.125,1000000000000,NaN,NaN,invalid_geometry,trkg4:electrodeDiagnostics,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,0.135818906888859,-0.112110714946518,-0.984370058527633,30.4849289802345
