request_id,kind,quadrature_points,frequency_hz,state,model,rho1,rho2,rho_bone,rho_heart,rho_fat,L_mm,Z,relative_residual,reciprocity_abs
q1024_50000_exhale_ts_without_fat,literature,1024,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,70,37.3912358359386,1.89382278086742e-10,1.4210854715202e-14
q1024_50000_exhale_ts_without_fat,literature,1024,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,80,38.7111267522161,3.31006133959998e-10,7.105427357601e-15
q1024_50000_exhale_ts_without_fat,literature,1024,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,90,33.038083558789,2.18799231900848e-10,1.4210854715202e-14
q1024_50000_exhale_ts_without_fat,literature,1024,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,110,30.8494312924807,4.4936235852856e-10,1.06581410364015e-14
q1024_50000_exhale_ts_without_fat,literature,1024,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,120,28.3668542907274,2.8999755787516e-10,1.4210854715202e-14
q1024_50000_exhale_ts_without_fat,literature,1024,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,130,26.0610626344328,4.39712325452666e-10,7.105427357601e-15
q1024_50000_exhale_ts_without_fat,literature,1024,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,140,25.2193969885428,2.57646272463164e-10,1.77635683940025e-14
q1024_50000_exhale_ts_with_fat,literature,1024,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,50,82.0232162498488,1.24102352995792e-10,1.4210854715202e-14
q1024_50000_exhale_ts_with_fat,literature,1024,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,60,76.1463321822098,1.37637589163057e-10,0
q1024_50000_exhale_ts_with_fat,literature,1024,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,70,52.3305894899176,1.66609539633202e-10,0
q1024_50000_exhale_ts_with_fat,literature,1024,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,80,54.6176279051548,1.9456757072655e-10,2.8421709430404e-14
